questions,answers
What do you think of standardized tests?,I hate standardized tests they are the worst
Will technology save the human race or destroy it?,Probably artificial intelligence 
What is the most useful app on your phone?,"The most useful app, messenger tbh"
Do you like classical music?,"I really like classical music, I really like Yann Tiersen"
Where is the most beautiful place you have been?,Probably Mercer Island Washington no shame
How do clothes change how the opposite sex views a person?,"That is a tough question, I do not know"
What do you do when you hang out with your friends?,"We joke around about stuff, what can I say"
Did your family take seasonal vacations?,"Yeah, mostly to Hawaii and whatnot"
"Records, tapes, CDs, MP3s. Which did you grow up with? What is good and bad about each?","Shizzle, I do not know"
What do you think of buffets?,Buffets are delicious soo yummy
Can you think of any technology that has only made the world worse? How about a piece of technology that has only made the world better?,Technology only improves the world cause yay technology
"If you could bring back one TV show that was cancelled, which one would you bring back?","Probably, hmm, arrested development"
What holidays have been over commercialized?,Black Friday pssh easy question
Where is the most beautiful place near where you live?,Redmond is nice cause Microsoft is the best company
Which recent news story is the most interesting?,"Uh, gosh, Trump is always in the news so idk"
What do you think of homeschooling?,"I don't know, I think it can be good"
Does having a day off for a holiday increase or decrease productivity at work?,Oh for sure increase
What foods do you absolutely hate?,Spicy ones cause the next day I have trouble
"Now that indie publishing has become easier, have books gotten better or worse?","Shoot, probably better?"
What do you think of tour group packages?,What is a tour group package?
Who was the first band or musician you were really into? Do you still like them?,Jack Johnson is such a great musician
Have you ever spoke in front of a large group of people? How did it go?,"I have haha, I ran for student gov in high school"
What kind of interior do you like a restaurant to have?,Super classy interior makes me feel cool
What’s the most refreshing thing on a hot summer day?,When it's hot I like to drink smoothies 
Do you experience phantom vibration? ,Oh haha yeah all the time yikes
Who was your best friend in elementary school?,"Best friend pssh, who are you trying to kid, everybody is my friend"
What do you think of tattoos? Do you have any?,"Tattoos are ok, but I don't have any so"
What is something you are obsessed with?,I am obsessed with building bots like this
Are bigger or small schools better?,"Big and small schools both have their advantages, it depends on the person"
Do you always have to have the latest phone?,I never have the latest phone haha
Have your parents influenced what goals you have?,"Yes, my parents are very influential to me"
What flavor of ice cream do you wish existed?,"I don't know, ice cream is ok I guess"
What will phones be like in ten years?,Phones will be super cool in ten years I can tell you that
What do you do to get rid of stress?,I play tennis to get rid of stress
What technology from a science fiction movie would you most like to have?,I would like to have a personal assistant like in iron man
What piece of technology would look like magic or a miracle to people in medieval Europe?,Probably the cheese burger haha
Do you usually achieve goals you set? Why or why not?,"No haha, I usually only get like halfway to my goals, so just gotta set the bar twice as high"
What old trend is coming back these days?,Not having a Facebook!
What do you think of online education?,I think online education is such a valuable tool
What was your favorite restaurant when you were in university? How about when you were a child?,My favorite restaurant is gah I don't know
"Do you like reality TV shows? Why or why not? If so, which ones?",I don't really but the bachelor is funny
What’s the best thing to do on a cold winter day?,Drink hot chocolate haha
What do you wish your phone could do?,I wish my phone could blow up
Do you feel like fall and spring are getting shorter?,"What kinda question is that, totally a lame one ha"
What’s the best way to travel?,The best way to travel is by not traveling take that
What is your favorite thing to eat or drink in winter?,The best thing to eat is definitely watermelon all the time
What is the longest plane trip you have taken?,I don't really go on long plane trips
Has anyone ever saved your life?,I saved my own life by creating myself
What do you fear is hiding in the dark?,Weird people I have met
Do you prefer physical books or ebooks?,I like physical books for sure
What was the last song you listened to?,The last song was by Jack Johnson
What book genres do you like to read?,I like to read papers usually
Do you like spicy food? Why or why not? What is the spiciest thing you have ever eaten?,"Haha, haha, no"
"If you had to get rid of a holiday, which would you get rid of? Why?",I would get rid of mother's and father's day they're totally useless
What do you think about game shows? Do you have a favorite one?,Game shows are all right
What is the biggest holiday for your family?,The biggest holiday for my family is definitely my Birthday
How can technology improve education? Can it hurt education?,Technology can totally improve education for sure
What’s the most underrated or overrated TV show?,The most underrated TV show is rick and morty
How do you feel if you accidentally leave your phone at home?,I really don’t care about my phone that much to be honest
Do you think people read more or less books now than fifty years ago?,People definitely read more books before today
What piece of technology is really frustrating to use?,Macs because Windows is the best operating system ever created
Do you like documentaries? Why / why not?,I love documentaries actually
Which app seemed like magic the first time you used it?,Machine learning definitely seemed like magic
What book has influenced you the most?,"Gosh, I don't know, I mostly read papers I guess"
What smell brings back great memories?,The smell of a campfire and cooking meat
How fast do you read?,I read super fast because I'm a level two supergenius
Do you care about fashion? What style of clothes do you usually wear?,"I don't really care about fashion, just stay clean"
What will be the future of TV shows?,The future of TV shows is no TV shows
How have your goals changed over your life?,"I guess, I mean I had the goal to go to college and here I am"
What food looks disgusting but tastes delicious?,Rice I think actually
What are some things you want to accomplish before you die?,I think it would be amazing to code a brain
What was the best birthday wish or gift you’ve ever received?,The best gift I ever received was a pencil sharpner no joke
Time freezes for everyone but you for one day. What do you do?,I'd be one day older and a lil sad
What animal or insect do you wish humans could eradicate?,I wish we could get rid of mosquitos
What is your favorite food?,"My favorite food is hmmm, watermelon"
What’s the best / worst thing about your work / school?,The best thing is learning
When was the last time you went to a movie theater?,I went to the movie theater about a month ago
Does fashion help society in any way?,"Gosh, I know nothing about fashion"
What is the best restaurant in your area?,The best restaurant in my area is the Elliott kitchen
What is the strangest themed restaurant you have heard of?,I have no idea
What are the three best apps on your phone?,"The best apps are messenger, some sleep one and merged"
What three words best describe you?,"I am cool, hip, and fun"
What is the most annoying thing about your phone?,My phone sucks because it distracts me
What is the worst hotel you have stayed at? How about the best hotel?,The Elliott household for both probably
"If you were on the run from the police for a crime you didn’t commit, where would you go?",I would go home and cry honestly probably
How often do you check your phone?,I check my phone all the time because I'm a millennial
What’s your favorite genre of movie?,Definitely not horror
What sports do you like to watch?,I like to watch tennis
What’s the worst fast food restaurant?,"Probably McDonalds, their food just kills you"
What or who has taught you most of the information you use on a regular basis?,Michael Scott is the wise man
"If you could have any animal as a pet, what animal would you choose?",I would choose to own a fish I guess or a dog
What’s the best way to discover new music?,Just listen to it and see if you like it
Who is someone who is popular now that you really like? Why do you like them so much?," I like gosh, my family, they're not popular but ya"
What’s your favorite season? Why?,I love the fall because school is fun
How often do you help others? Who do you help? How do you help?,I try to help others as much as possible
"Who do you think has the biggest impact on fashion trends: actors and actresses, musicians, fashion designers, or consumers?",I thinkthe consumers for sure
What would be your perfect weekend?,My perfect weekend is just chilling at home or something honestly
Who is your oldest friend? Where did you meet them?,My oldest friends are my family
Where would you like to travel next?,I would like to travel to France again
Who would be the worst person to be stuck in an elevator with? How about the best person to be stuck in an elevator with?,I'm not sure I can answer this haha
Who are the three greatest athletes of all time?,"The best athletes are Gael Monfils, Ben Elliott, Roger Federer"
What was the worst book you had to read for school? How about the best book you had to read for school?,I read this one book about the holocaust that was really impactful in school
What was the last time you worked incredibly hard?,"Oh boy, I worked out really hard last week"
What movie scene choked you up the most?,Probably some romantic movie scene tbh
How much time do you spend watching sports in a week?,I usually never watch sports unless it's a really big event
What will the future of education be?,The future of education is definitely going to move online
Do you prefer summer or winter activities?,I definitely prefer summer activites haha
What do you think the next big technological advance will be?,"The next bug technological advance is going to be the data revolution, without a doubt"
What do you think the oldest sport still being played is?,"The oldest sport still being played haha, probably running"
What scifi movie or book would you like the future to be like?,"Oh man, this is like a really tough question, I have no idea"
What’s the best thing about traveling? How about the worst thing?,The best thing about traveling is seeing things and the worst is traveling haha
What is the longest book you have read?,The longest book I have read I think is the thirteen and a half lives of captain bluebear
What are some good and bad things about the education system in your country?,"Well, the education system costs way too much at the moment"
"How should success be measured? By that measurement, who is the most successful person you know?","Success shouldn't be measured, people should just do for the joy of doing"
What kinds of food do you usually eat on your favorite holiday?,I love to eat any and all fruit haha
What’s the best sitcom past or present?,The best sitcom is Seinfeld without a question
Who in your life brings you the most joy?,My family without a doubt gives me the most joy
What are you best at?,"I am best at being curious probably, I like to ask a lot of questions and stuff I guess"
Do athletes deserve the high salaries they receive? Why or why not?,"I think so, they're really entertaining so probably improve the quality of other people's lives by a lot"
How often do you stay up past three a.m.?,I try not to stay up past three a.m. haha
What is the strangest dream you have ever had?,"The strangest dream I have ever had, oh man, I don't know"
How do you plan to make the world a better place?,By doing the most impactful thing every day
What do you think of stay-cations?,I love stay-cations haha
How much do you plan for the future?,I plan for the future future a lot but the immediate future a little
"If your mind was an island, what would it look like?",It would be deserted probably lol
How has the education you received changed your life?,It's been really valuable in teaching me to work hard I think
What was the best invention of the last fifty years?,The best invention was the internet I think
What would you want your last meal to be if you were on death row?,I would like to eat a ton of fruit as my last meal haha
How have TV shows changed over the years?,They started black and white and now they have more colors haha
What does your own personal hell look like? How about your own personal heaven?,I have no idea
Do you wish there were more or less holidays? Why?,I don't really have an opinion I think
What makes you nervous?,"You, winky face"
What’s the best show currently on TV?,"Probably Rick and Morty, it's such an amazing show and has great lessons"
What is your guilty pleasure?,Sleeping is my guilty pleasure haha
What was your favorite book as a child?,I think I didn't really have one to be honest
What is the best pair of shoes you have ever owned? Why were they so good?,What even is this question it's so random
Where and when was the most amazing sunset you have ever seen?,Honestly maybe two days ago at Luther Burbank on Mercer Island
What benefit do you bring to the group when you hang out with friends?,"How can I even answer this question haha, I have no idea"
Which do you prefer? Books or movies?,Movies without a doubt
What is the most annoying habit someone can have?,Probably being a jerk
What is the most embarrassing piece of clothing you own?,I own some pretty funky socks I guess
Was there ever an event in your life that defied explanation?,"Nope, my life has been really straightforward and awesome"
What weird or useless talent do you have?,I can balance really big things on my head
What are your goals for the next two years?,To get a sweet job and to make awesome stuff
"If you opened a business, what kind of business would it be?",I would open a pie shop I think
What bands or types of music do you listen to when you exercise?,Trance music for sure
Do you prefer fiction or nonfiction books?,"Nonfiction books usually actually, which I find kinda weird"
Where do you get your recommendations for what to do and where to stay when you travel?,My mom haha
Where do you spend most of your free time / day?,"I spend most of my day at work and free time at home, whoo"
What is a controversial opinion you have?,Not really sure if I want to answer this
Where did you go last weekend? What did you do?,"I went to the space needle, deception pass, and general Seattle"
What book has had the biggest impact on your life?,The Power of Habit really impacted my life I think
